study_id,reactorcase_run_id,scenario,parameter_refit_performed,observed_co2_conversion_percent,co2_conversion_percent_pred,co2_conversion_residual,observed_meoh_selectivity_percent,meoh_selectivity_percent_pred,meoh_selectivity_residual,observed_meoh_yield_for_validation_percent,meoh_yield_percent_pred,meoh_yield_residual
WEI-2025,WEI-T220-P50,published_table_4_assignment,False,1.1,0.5531281177777035,-0.5468718822222965,86.5,80.93900034369885,-5.560999656301149,0.9515,0.44769636914919053,-0.5038036308508095
WEI-2025,WEI-T220-P50,published_prose_swapped_assignment,False,1.1,0.9122513030885315,-0.18774869691146856,86.5,80.93347195915601,-5.566528040843991,0.9515,0.738316652582192,-0.21318334741780798
WEI-2025,WEI-T240-P50,published_table_4_assignment,False,1.4,1.1875430050995508,-0.21245699490044911,77.4,78.0628307875433,0.6628307875432995,1.0836,0.927029686600169,-0.15657031339983085
WEI-2025,WEI-T240-P50,published_prose_swapped_assignment,False,1.4,1.6693563281507156,0.26935632815071564,77.4,78.05294959503473,0.6529495950347268,1.0836,1.3029818533730004,0.21938185337300053
WEI-2025,WEI-T260-P50,published_table_4_assignment,False,2.6,2.381592726644966,-0.21840727335503418,66.3,75.09806653617079,8.798066536170793,1.7238,1.7885300904764407,0.06473009047644074
WEI-2025,WEI-T260-P50,published_prose_swapped_assignment,False,2.6,2.923833620933188,0.323833620933188,66.3,75.07527794251048,8.775277942510485,1.7238,2.195076217492159,0.4712762174921592
WEI-2025,WEI-T280-P50,published_table_4_assignment,False,4.7,4.470227295128081,-0.2297727048719196,58.6,71.94400555656613,13.344005556566124,2.7542,3.216060573598082,0.4618605735980821
WEI-2025,WEI-T280-P50,published_prose_swapped_assignment,False,4.7,4.896711744517117,0.19671174451711693,58.6,71.89299154924107,13.292991549241073,2.7542,3.520392560676387,0.7661925606763869
SUN-2015,SUN-P10-T250,published_table_4_assignment,False,0.12,0.5208338921279494,0.4008338921279494,58.33,56.41007572797948,-1.9199242720205163,0.07,0.29380279296635925,0.22380279296635924
SUN-2015,SUN-P10-T250,published_prose_swapped_assignment,False,0.12,0.5715926275020138,0.4515926275020138,58.33,56.398034208150236,-1.9319657918497626,0.07,0.3223670055898505,0.2523670055898505
SUN-2015,SUN-P10-T270,published_table_4_assignment,False,0.65,0.9416359941210521,0.2916359941210521,30.77,52.361589033863524,21.591589033863524,0.2,0.49305556943660056,0.29305556943660055
SUN-2015,SUN-P10-T270,published_prose_swapped_assignment,False,0.65,0.9843480923586581,0.33434809235865803,30.77,52.33499433287867,21.564994332878673,0.2,0.515158518351703,0.315158518351703
SUN-2015,SUN-P10-T290,published_table_4_assignment,False,1.35,1.5940820898516732,0.24408208985167312,31.11,47.82592705529416,16.71592705529416,0.42,0.7623845374939701,0.3423845374939701
SUN-2015,SUN-P10-T290,published_prose_swapped_assignment,False,1.35,1.6121517309312021,0.26215173093120203,31.11,47.796865514008594,16.686865514008595,0.42,0.7705579947149485,0.3505579947149485
SUN-2015,SUN-P10-T310,published_table_4_assignment,False,2.55,2.4782903927421693,-0.07170960725783049,24.31,41.1559567641046,16.845956764104603,0.62,1.0199641225259253,0.3999641225259253
SUN-2015,SUN-P10-T310,published_prose_swapped_assignment,False,2.55,2.4589868307492937,-0.09101316925070613,24.31,41.233541197071375,16.923541197071376,0.62,1.0139273478875697,0.39392734788756967
SUN-2015,SUN-P10-T330,published_table_4_assignment,False,4.35,3.4459465963515035,-0.9040534036484962,12.41,29.354611143397175,16.944611143397175,0.54,1.011544223568114,0.471544223568114
SUN-2015,SUN-P10-T330,published_prose_swapped_assignment,False,4.35,3.395884364254359,-0.9541156357456408,12.41,29.76899706065495,17.35899706065495,0.54,1.010920716578121,0.47092071657812107
SUN-2015,SUN-P10-T350,published_table_4_assignment,False,7.5,4.513247302549836,-2.9867526974501644,3.33,13.79187933313411,10.46187933313411,0.25,0.6224616219736036,0.37246162197360355
SUN-2015,SUN-P10-T350,published_prose_swapped_assignment,False,7.5,4.432898110949673,-3.0671018890503268,3.33,14.34003351076585,11.01003351076585,0.25,0.6356790746082893,0.3856790746082893
SUN-2015,SUN-P20-T250,published_table_4_assignment,False,0.22,0.7048103575236464,0.48481035752364643,72.73,65.03542554955408,-7.694574450445927,0.16,0.4583764153328369,0.2983764153328369
SUN-2015,SUN-P20-T250,published_prose_swapped_assignment,False,0.22,0.8284813508635478,0.6084813508635478,72.73,65.0231179519585,-7.706882048041507,0.16,0.5387044059819838,0.37870440598198374
